sentence,pred_sentence,pred_sentence_tok,sentence_tok
ฉันรู้ฉันรู้,ฉันรู้ฉันรู้,ฉัน รู้ ฉัน รู้,ฉัน รู้ ฉัน รู้
พวกเรามีกระรอกมากเกินไป,พวกเรามีกระรอกมากเกินไป,พวกเรา มี กระรอก มากเกินไป,พวกเรา มี กระรอก มากเกินไป
ฉันรู้ว่าเสียงของเขา,ฉันรู้ว่าเสียงของเขา,ฉัน รู้ ว่า เสียง ของ เขา,ฉัน รู้ ว่า เสียง ของ เขา
จากนั้นมาร์ธก็ตามไป,จากนั้นMARCHก็ตามไป,จากนั้น MARCH ก็ตาม ไป,จากนั้น มาร ์ธ ก็ตาม ไป
ฉันไม่ต้องการให้นึกถึงคำพูดของออกัสตัส,ฉันไม่ต้องการให้นึกถึงคำพูดของออกกษัตริย์,ฉัน ไม่ต้องการ ให้ นึกถึง คำพูด ของ ออก กษัตริย์,ฉัน ไม่ต้องการ ให้ นึกถึง คำพูด ของ ออ กัสตัส
ผู้เช่าจะจ่ายค่าเช่าตรงเวลาเสมอ,ผู้เช่าจะจ่ายค่าชอบตรงเวลาเสมอ,ผู้เช่า จะ จ่าย ค่า ชอบ ตรงเวลา เสมอ,ผู้เช่า จะ จ่าย ค่าเช่า ตรงเวลา เสมอ
และถ้าหากมีอะไรเกิดขึ้นตอนที่เรากำลังกินอาหารอยู่ล่ะ,และถ้าหากมีอะไรเกิดขึ้นตอนที่เรากำลังกินอาหารอยู่ละ,และ ถ้าหาก มี อะไร เกิดขึ้น ตอนที่ เรา กำลังกิน อาหาร อยู่ ละ,และ ถ้าหาก มี อะไร เกิดขึ้น ตอนที่ เรา กำลังกิน อาหาร อยู่ ล่ะ
ระวังในการถือสารเคมีที่มีฤทธิ์กัดกร่อนหรือระคายเคือง,ระวังในการสื่อสารสารเคมีที่มีฤทธิ์กลอนหรือระคายเคือง,ระวัง ใน การสื่อสาร สารเคมี ที่ มีฤทธิ์ กลอน หรือ ระคายเคือง,ระวัง ใน การ ถือ สารเคมี ที่ มีฤทธิ์ กัดกร่อน หรือ ระคายเคือง
แต่ละคนมีพันธมิตรมันร้อง,แต่ละคนมีพันธมิตรมันร้อง,แต่ละคน มี พันธมิตร มัน ร้อง,แต่ละคน มี พันธมิตร มัน ร้อง
ไม่มีอะไรยืดหยุ่นเหมือนกับใยแมงมุม,ไม่มีอะไรยืดหยุ่นเหมือนกับใยแมงมุม,ไม่ มี อะไร ยืดหยุ่น เหมือนกับ ใยแมงมุม,ไม่ มี อะไร ยืดหยุ่น เหมือนกับ ใยแมงมุม
นี่คือบ้านที่น่ากลัวมากนายกุปเปอร์พูดปิดหน้าต่าง,นี่คือบ้านที่น่ากลัวมากนายกรุ๊ปเบิกอุดปิดหน้าต่าง,นี่ คือ บ้าน ที่ น่ากลัว มาก นาย กรุ๊ป เบิก อุด ปิด หน้าต่าง,นี่ คือ บ้าน ที่ น่ากลัว มาก นาย กุ ป เปอร์ พูด ปิด หน้าต่าง
สะโพกของเขาชนกับเข่าของผู้เล่นคนถัดไป,สะโพกของเค้าชนกับเข่าของผู้เล่นคนถัดไป,สะโพก ของ เค้า ชน กับ เข่า ของ ผู้ เล่น คน ถัดไป,สะโพก ของ เขา ชน กับ เข่า ของ ผู้ เล่น คน ถัดไป
เรือควรจะเทียบท่าภายในเจ็ดถึงสิบวัน,เรือควรจะเทียบภาพภายในเจ็ดถึงสิบวัน,เรือ ควรจะ เทียบ ภาพ ภายใน เจ็ด ถึง สิบ วัน,เรือ ควรจะ เทียบท่า ภายใน เจ็ด ถึง สิบ วัน
ในเมื่อไม่มีจะสูญเสียได้อย่างไร,ในเมื่อไม่มีจะสูญเสียได้อย่างไร,ใน เมื่อ ไม่ มี จะ สูญ เสียได้ อย่างไร,ใน เมื่อ ไม่ มี จะ สูญ เสียได้ อย่างไร
ฉันอยากจะเป็นนักเขียนสิ่งตีพิมพ์ตอนที่โตเป็นผู้ใหญ่,ฉันอยากจะเป็นนักเขียนสิ่งตีพิมพ์ตอนที่โตเป็นผู้ใหญ่,ฉัน อยาก จะ เป็น นักเขียน สิ่งตีพิมพ์ ตอนที่ โต เป็นผู้ใหญ่,ฉัน อยาก จะ เป็น นักเขียน สิ่งตีพิมพ์ ตอนที่ โต เป็นผู้ใหญ่
นี่จะทำให้โลกวุ่นวายมากขึ้น,น่าจะทำให้ลูกวุ่นวายมากขึ้น,น่าจะ ทำให้ ลูก วุ่นวาย มากขึ้น,นี่ จะ ทำให้ โลก วุ่นวาย มากขึ้น
เกิดเหตุร้ายที่งานเทศกาลศิลปะ,เกิดเหตุร้ายจริงงานเทศกาลศิลปะ,เกิด เหตุร้าย จริง งานเทศกาล ศิลปะ,เกิด เหตุร้าย ที่ งานเทศกาล ศิลปะ
คุณจะปกป้องพวกเขาอย่างไร,คุณจะปกป้องพวกเขาอย่างไร,คุณ จะ ปกป้อง พวกเขา อย่างไร,คุณ จะ ปกป้อง พวกเขา อย่างไร
ฉันตีลังกาได้,ฉันตีลังกาได้,ฉัน ตีลังกา ได้,ฉัน ตีลังกา ได้
เสนาบดีกระทรวงการคลัง,เสนาบดีกระทรวงการคลัง,เสนาบดี กระทรวงการคลัง,เสนาบดี กระทรวงการคลัง
สายเคเบิ้ลไม่ได้สิ้นสุดที่ปลั๊กผนังแต่มันพ่วงไปตามโรงงานไฟฟ้า,สายเคเบิ้ลไม่ได้จิ้นสุทธิปากพนังแต่มันท่วมไปตามโรงงานไฟฟ้า,สาย เคเบิ้ล ไม่ ได้ จิ้น สุทธิ ปาก พนัง แต่ มัน ท่วม ไป ตาม โรงงาน ไฟฟ้า,สาย เคเบิ้ล ไม่ ได้ สิ้นสุด ที่ ปลั๊ก ผนัง แต่ มัน พ่วง ไป ตาม โรงงาน ไฟฟ้า
ฉันคิดว่าฉันไม่ควรกลับมาอีก,ฉันคิดว่าฉันไม่ควรกลับมาอีก,ฉัน คิด ว่า ฉัน ไม่ ควร กลับมา อีก,ฉัน คิด ว่า ฉัน ไม่ ควร กลับมา อีก
มันเป็นโลกใบใหม่ที่เต็มไปด้วยความกล้าหาญ,มันเป็นโลกใบใหม่ที่เต็มไปด้วยความกล้าหาญ,มัน เป็น โลก ใบ ใหม่ ที่ เต็มไปด้วย ความกล้าหาญ,มัน เป็น โลก ใบ ใหม่ ที่ เต็มไปด้วย ความกล้าหาญ
ท้ายที่สุดอัศวินแดงแห่งคารากัสได้กล่าวว่าเธอคือนักโทษของข้าเจ้ารู้ไว้ซะ,ท้ายที่สุดอัศวินแดงแห่งKARAกัดได้กล่าวว่าเธอคือรถของข้าเจ้ารู้ไว้ซะ,ท้ายที่สุด อัศวิน แดง แห่ง KARA กัด ได้ กล่าวว่า เธอ คือ รถ ของ ข้าเจ้า รู้ ไว้ ซะ,ท้ายที่สุด อัศวิน แดง แห่ง คา รา กัส ได้ กล่าวว่า เธอ คือ นักโทษ ของ ข้าเจ้า รู้ ไว้ ซะ
ฉันอยู่ที่นี่มานานหลายปี,ฉันอยู่ที่นี่มานานหลายปี,ฉัน อยู่ ที่นี่ มา นาน หลาย ปี,ฉัน อยู่ ที่นี่ มา นาน หลาย ปี
เอาล่ะไม่จำเป็นต้องตื่นเต้นนักหรอก,เอาล่ะไม่จำเป็นต้องตื่นเต้นนักหรอก,เอาล่ะ ไม่ จำเป็นต้อง ตื่นเต้น นัก หรอก,เอาล่ะ ไม่ จำเป็นต้อง ตื่นเต้น นัก หรอก
เราทั้งหมดรู้สึกตื่นตระหนกอย่างท่วมท้นกับสัญญาณเตือนถึงเหตุการณ์ร้ายที่กำลังจะมาถึง,เราทั้งหมดรู้สึกตื่นตระหนกอย่างเต็มทนกับสัญญาณเตือนตึงเหตุร้ายที่กำลังจะมาถึง,เรา ทั้งหมด รู้สึก ตื่นตระหนก อย่าง เต็มทน กับ สัญญาณ เตือน ตึง เหตุร้าย ที่ กำลังจะ มาถึง,เรา ทั้งหมด รู้สึก ตื่นตระหนก อย่าง ท่วมท้น กับ สัญญาณ เตือน ถึง เหตุการณ์ ร้าย ที่ กำลังจะ มาถึง
การแสดงอารมณ์ทั่วไปสามารถถูกใช้ตรวจจับรูปแบบลำดับของข้อความได้,การแสดงอารมณ์ทั่วไปสามารถถูกใช้ตรวจจับรูปแบบลำดับส่งข้อความได้,การแสดง อารมณ์ ทั่วไป สามารถ ถูก ใช้ ตรวจจับ รูปแบบ ลำดับ ส่ง ข้อความ ได้,การแสดง อารมณ์ ทั่วไป สามารถ ถูก ใช้ ตรวจจับ รูปแบบ ลำดับ ของ ข้อความ ได้
เวลาพลบค่ำทำให้คุณรู้สึกเศร้า,เวลาพลบค่ำทำให้คุณรู้สึกเศร้า,เวลา พลบค่ำ ทำให้ คุณ รู้สึก เศร้า,เวลา พลบค่ำ ทำให้ คุณ รู้สึก เศร้า
เขาเปิดห่อออกมาและใส่แซนวิชลงไป,เขาเปิดห่อออกมาและใส่แซนด์วิชลงไป,เขา เปิด ห่อ ออกมา และ ใส่ แซนด์วิช ลง ไป,เขา เปิด ห่อ ออกมา และ ใส่ แซ น วิ ชล ง ไป
โตโต้ไม่ชอบมันเลย,โตโต้ไม่ชอบมันเลย,โต โต้ ไม่ ชอบ มัน เลย,โต โต้ ไม่ ชอบ มัน เลย
มันมีเวลาและสถานที่ในเรื่องของฉัน,มันมีเวลาและสถานที่ในเรื่องของฉัน,มัน มี เวลา และ สถานที่ ใน เรื่อง ของ ฉัน,มัน มี เวลา และ สถานที่ ใน เรื่อง ของ ฉัน
นี่มันถุงมือของแฮร์รี่มีชื่อย่อประทับอยู่ตรงซับในนี่ไง,นี่มันถุงมือของแฮร์รี่ยอดก็ทำอยู่ตรงซับในนี่ไง,นี่ มัน ถุงมือ ของ แฮร์รี่ ยอด ก็ ทำ อยู่ ตรง ซับใน นี่ ไง,นี่ มัน ถุงมือ ของ แฮร์รี่ มี ชื่อย่อ ประทับ อยู่ ตรง ซับใน นี่ ไง
ฉันต้องการให้พวกผู้ชายทำงานด้วยตัวของพวกเขาเอง,ฉันต้องการให้พวกผู้ชายทำงานด้วยตัวของพวกเขาเอง,ฉัน ต้องการ ให้ พวก ผู้ชาย ทำงาน ด้วย ตัว ของ พวกเขา เอง,ฉัน ต้องการ ให้ พวก ผู้ชาย ทำงาน ด้วย ตัว ของ พวกเขา เอง
สถานีอวกาศมีการสั่นสะเทือนอย่างรุนแรงจากการที่คลื่นแรงดันที่รุนแรงเนื่องจากการปรับความดันอากาศล้มเหลว,สถานีอวกาศมีการสั่นสะเทือนอย่างรุนแรงจากการที่ขึ้นแรงดำที่รุนแรงเรื่องจากตามปรับความดันอากาศล้มเหลว,สถานี อวกาศ มี การ สั่นสะเทือน อย่าง รุนแรง จาก การ ที่ ขึ้น แรง ดำ ที่ รุนแรง เรื่อง จาก ตาม ปรับ ความดัน อากาศ ล้มเหลว,สถานี อวกาศ มี การ สั่นสะเทือน อย่าง รุนแรง จาก การ ที่ คลื่น แรงดัน ที่ รุนแรง เนื่องจาก การ ปรับ ความดัน อากาศ ล้มเหลว
หยุดยาว,หยุดยาว,หยุด ยาว,หยุด ยาว
เธอซื้อแตงกวาที่ตลาด,เคยซื้อแตงพี่ตลาด,เคย ซื้อ แตง พี่ ตลาด,เธอ ซื้อ แตงกวา ที่ ตลาด
หนูแดงกินอะไร,หนูแดงกินอะไร,หนู แดง กิน อะไร,หนู แดง กิน อะไร
หน่วยงานให้เช่าเชื่อว่าฉันไม่น่าเชื่อถือเนื่องจากหนี้สินของฉัน,หน่วยงานให้เขาเชื่อว่าฉันไม่น่าเชื่อคือนอกจากนี้สิ่งของฉัน,หน่วยงาน ให้ เขา เชื่อ ว่า ฉัน ไม่ น่าเชื่อ คือ นอกจากนี้ สิ่งของ ฉัน,หน่วยงาน ให้เช่า เชื่อ ว่า ฉัน ไม่ น่าเชื่อถือ เนื่องจาก หนี้สิน ของ ฉัน
โปรดให้อภัยการแนะนำหัวข้อที่ใจร้ายเช่นนี้,โปรดให้อภัยกันแนะนำหัวข้อที่ใจร้ายเช่น,โปรด ให้อภัย กัน แนะนำ หัวข้อ ที่ ใจร้าย เช่น,โปรด ให้อภัย การ แนะนำ หัวข้อ ที่ ใจร้าย เช่นนี้
มันคงจะดีกว่าถ้าไม่เก็บมันตอนนี้,มันคงจะดีกว่าถ้าไม่เก็บมันตอนนี้,มัน คงจะ ดีกว่า ถ้า ไม่ เก็บ มัน ตอนนี้,มัน คงจะ ดีกว่า ถ้า ไม่ เก็บ มัน ตอนนี้
นางราเชลเพื่อนสาวของเราไม่เคยได้ยินเรื่องนี้,นั่งราเชลเพื่อนสาวของเราไม่เคยได้ยินเรื่องนี้,นั่ง ราเชล เพื่อน สาว ของ เรา ไม่ เคย ได้ยิน เรื่อง นี้,นาง ราเชล เพื่อน สาว ของ เรา ไม่ เคย ได้ยิน เรื่อง นี้
เธอยืนอยู่ข้างข้างทางเท้าและข้ามทางม้าลายไป,เธอยืนอยู่ข้างข้างทางถ้าเราและข้ามทางม้าลายไป,เธอ ยืน อยู่ ข้าง ข้างทาง ถ้า เรา และ ข้าม ทางม้าลาย ไป,เธอ ยืน อยู่ ข้าง ข้าง ทางเท้า และ ข้าม ทางม้าลาย ไป
คุณครูคิดว่าเขาเรียนด้วยตัวเองทั้งหมดที่เขาทำได้,คุณครูคิดว่าเขาเรียนด้วยตัวเองทั้งหมดที่เขาทำได้,คุณครู คิด ว่า เขา เรียน ด้วยตัวเอง ทั้งหมด ที่ เขา ทำได้,คุณครู คิด ว่า เขา เรียน ด้วยตัวเอง ทั้งหมด ที่ เขา ทำได้
เขาพูดว่าเขาจะออกไปตามหาหมีตัวนั้น,เขาพูดว่าเขาจะออกไปตามหามีดวันนั้น,เขา พูดว่า เขา จะ ออก ไป ตามหา มีด วันนั้น,เขา พูดว่า เขา จะ ออก ไป ตามหา หมี ตัว นั้น
นั่นคือคำตอบ,นั่นคือคำตอบ,นั่น คือ คำตอบ,นั่น คือ คำตอบ
ตารางฉันแน่นในเดือนนั้น,ตารางฉันเล่นในเดือนนั้น,ตาราง ฉัน เล่น ใน เดือน นั้น,ตาราง ฉัน แน่น ใน เดือน นั้น
เขาเขียนจดหมายระหว่างแต่ละช่วงเวลา,เขาเขียนจดหมายระหว่างแต่ละช่วงเวลา,เขา เขียนจดหมาย ระหว่าง แต่ละ ช่วงเวลา,เขา เขียนจดหมาย ระหว่าง แต่ละ ช่วงเวลา
ปิดเสียงหอน,ปิดเสียงหอน,ปิด เสียง หอน,ปิด เสียง หอน
ทำไมนี่คือสิ่งที่พิเศษ,ทำไมนี่คือสิ่งที่พิเศษ,ทำไม นี่ คือ สิ่ง ที่ พิเศษ,ทำไม นี่ คือ สิ่ง ที่ พิเศษ
เขาจะไม่หยุดและเขาจะไม่ไปต่อ,เขาจะไม่หยุดและเขาจะไม่ไปต่อ,เขา จะ ไม่ หยุด และ เขา จะ ไม่ ไป ต่อ,เขา จะ ไม่ หยุด และ เขา จะ ไม่ ไป ต่อ
ช่างเป็นคนเกียจคร้าน,ช่างเป็นคนเกียจคร้าน,ช่าง เป็น คน เกียจคร้าน,ช่าง เป็น คน เกียจคร้าน
มันสามารถเป็นอะไรได้อีก,มันสามารถเป็นอะไรได้อีก,มัน สามารถ เป็น อะไร ได้ อีก,มัน สามารถ เป็น อะไร ได้ อีก
ไม่มีใครรู้ว่ามัลคอล์มเป็นใคร,ไม่มีใครรู้ว่าเมาคอมเป็นCOMอะไร,ไม่ มี ใคร รู้ ว่า เมา คอม เป็น COM อะไร,ไม่ มี ใคร รู้ ว่า มัลคอล์ม เป็น ใคร
บนใบหน้าของพวกเขาสะท้อนให้เห็นในขณะนี้ความมึนงงของชายคนนั้น,บนใบหน้าของพวกเขาสะท้อนให้เห็นในขนาดนี้ตอนบนของชายคนนั้น,บน ใบหน้า ของ พวกเขา สะท้อน ให้ เห็น ใน ขนาด นี้ ตอน บน ของ ชาย คน นั้น,บน ใบหน้า ของ พวกเขา สะท้อน ให้ เห็น ใน ขณะนี้ ความ มึนงง ของ ชาย คน นั้น
ใครจะมาเข้าใจตัวเรา,ใครจะมาเข้าใจตัวเรา,ใคร จะ มา เข้าใจ ตัวเรา,ใคร จะ มา เข้าใจ ตัวเรา
ไม่มีไฟโดยไม่มีควัน,ไม่มีใครโดยไม่มีควัน,ไม่ มี ใคร โดย ไม่ มี ควัน,ไม่ มี ไฟ โดย ไม่ มี ควัน
ตู้เย็นขนาดใหญ่ใส่ของได้เยอะ,ตู้เย็นขนาดใหญ่ใส่ของได้เยอะ,ตู้เย็น ขนาดใหญ่ ใส่ ของ ได้ เยอะ,ตู้เย็น ขนาดใหญ่ ใส่ ของ ได้ เยอะ
ฉันได้รับบัพติศมาเป็นสองเท่า,ฉันได้รับบัตรดิสมาเป็นสองเท่า,ฉัน ได้รับ บัตร ดิ สมา เป็น สองเท่า,ฉัน ได้รับ บัพ ติ ศ มา เป็น สองเท่า
มันสามารถจินตนาการได้อย่างง่ายดาย,มันสามารถจินตนาการได้อย่างง่ายดาย,มัน สามารถ จินตนาการ ได้ อย่าง ง่ายดาย,มัน สามารถ จินตนาการ ได้ อย่าง ง่ายดาย
พวกเราไม่ได้รับการแจ้งเตือนเรื่องพายุทอร์นาโดจากวิทยุเลย,พวกเราไม่ได้รับการแจ้งเตือนเรื่องพายุทอร์นาโดจากวิธีอยู่เลย,พวกเรา ไม่ ได้รับ การ แจ้ง เตือน เรื่อง พายุทอร์นาโด จาก วิธี อยู่เลย,พวกเรา ไม่ ได้รับ การ แจ้ง เตือน เรื่อง พายุทอร์นาโด จาก วิทยุ เลย
ไม่ได้ตั้งใจป้าของฉันไม่ต้องการให้เขาทำแบบนั้น,ไม่ได้ตั้งใจป้าของฉันไม่ต้องการให้เขาทำแบบนั้น,ไม่ ได้ ตั้งใจ ป้า ของ ฉัน ไม่ต้องการ ให้ เขา ทำ แบบ นั้น,ไม่ ได้ ตั้งใจ ป้า ของ ฉัน ไม่ต้องการ ให้ เขา ทำ แบบ นั้น
อย่ากังวลเลยพวกนั้นเป็นคนดี,อย่ากังวลเลยพวกนั้นเป็นคนดี,อย่า กังวล เลย พวก นั้น เป็น คนดี,อย่า กังวล เลย พวก นั้น เป็น คนดี
ฉันซื้อเทียนวันเกิด,ฉันซื้อเทียนวันเกิด,ฉัน ซื้อ เทียน วันเกิด,ฉัน ซื้อ เทียน วันเกิด
ทำไมฉันถึงพูดถึงโรงเรียนของเด็กสาว,ทำไมฉันถึงพูดถึงโรงเรียนของเด็กสาว,ทำไม ฉัน ถึง พูดถึง โรงเรียน ของ เด็กสาว,ทำไม ฉัน ถึง พูดถึง โรงเรียน ของ เด็กสาว
จริงจริงแล้วเขาเป็นคนแบบไหนกัน,จริงจริงแล้วเขาเป็นคนแบบไหนก็,จริง จริง แล้ว เขา เป็น คน แบบ ไหน ก็,จริง จริง แล้ว เขา เป็น คน แบบ ไหน กัน
เดาไม่ออกเหรอว่าฉันจะทำลายมัน,เดาไม่ออกเหรอว่าฉันจะทำลายมัน,เดา ไม่ ออก เหรอ ว่า ฉัน จะ ทำลาย มัน,เดา ไม่ ออก เหรอ ว่า ฉัน จะ ทำลาย มัน
ดีฉันต้องการโทรก่อนที่เราจะไป,ดีฉันต้องการตั๋วก่อนที่เราจะไป,ดีฉัน ต้องการ ตั๋ว ก่อนที่ เรา จะ ไป,ดีฉัน ต้องการ โทร ก่อนที่ เรา จะ ไป
วิธีการที่จะจัดการกับสุนัขบ้า,วิธีการที่จะจัดการกับสุนัขบ้า,วิธีการ ที่จะ จัดการ กับ สุนัข บ้า,วิธีการ ที่จะ จัดการ กับ สุนัข บ้า
ส่งมาให้ฉัน,ส่งมาให้ฉัน,ส่ง มา ให้ ฉัน,ส่ง มา ให้ ฉัน
โชคร้ายที่ฉันประสบอุบัติเหตุที่ขาและไม่สามารถทำต่อไปได้,โชคร้ายที่ฉันประสบอุบัติเหตุที่ขาและไม่สามารถคำตอบไม่ได้,โชคร้าย ที่ ฉัน ประสบอุบัติเหตุ ที่ ขา และ ไม่ สามารถ คำตอบ ไม่ ได้,โชคร้าย ที่ ฉัน ประสบอุบัติเหตุ ที่ ขา และ ไม่ สามารถ ทำ ต่อไป ได้
ขอบคุณที่อ่านเสียงดัง,ขอบคุณที่อ่านเสียงดัง,ขอบคุณ ที่ อ่าน เสียงดัง,ขอบคุณ ที่ อ่าน เสียงดัง
ชาวนาบรรเทาความทุกข์ยากเพราะฝนหลวงพระราชทาน,ชาวนาบรรเทาความทุกข์ยากก็คุณหลวงพระราชทาน,ชาวนา บรรเทา ความทุกข์ยาก ก็ คุณ หลวง พระราชทาน,ชาวนา บรรเทา ความทุกข์ยาก เพราะ ฝนหลวง พระราชทาน
ฉันเห็นรองเท้าทำจากในเมือง,ฉันเห็นร่องเขาทำจากในเมือง,ฉัน เห็น ร่อง เขา ทำ จาก ใน เมือง,ฉัน เห็น รองเท้า ทำ จาก ใน เมือง
ฉันมีชีวิตเหมือนทางที่โรยกลีบกุหลาบ,ฉันมีชีวิตเหมือนทางที่โรยกลีบกุหลาบ,ฉัน มีชีวิต เหมือน ทาง ที่ โรย กลีบ กุหลาบ,ฉัน มีชีวิต เหมือน ทาง ที่ โรย กลีบ กุหลาบ
เรื่องอะไรที่บอกในคลับ,เรื่องอะไรที่บอกนะครับ,เรื่อง อะไร ที่ บอก นะ ครับ,เรื่อง อะไร ที่ บอก ใน คลับ
คุณแองเจล่าเขาพูดถูกนะครับท่าน,คุณแองANGELล่าเค้าพูดดูนะครับท่าน,คุณ แอ ง ANGEL ล่า เค้า พูด ดู นะ ครับ ท่าน,คุณ แอ ง เจ ล่า เขา พูด ถูก นะ ครับ ท่าน
พิษของพวกมันนั้นไม่เป็นอันตรายต่อมนุษย์,คิดของพวกมันนั้นไม่เป็นอันตรายต่อมนุษย์,คิด ของ พวก มัน นั้น ไม่ เป็นอันตราย ต่อ มนุษย์,พิษ ของ พวก มัน นั้น ไม่ เป็นอันตราย ต่อ มนุษย์
ถ้าอย่างนั้นฉันว่าเราต้องล่อเขาออกไป,ถ้าอย่างนั้นฉันว่าเราต้องรอเค้าออกไป,ถ้าอย่างนั้น ฉัน ว่า เรา ต้อง รอ เค้า ออก ไป,ถ้าอย่างนั้น ฉัน ว่า เรา ต้อง ล่อ เขา ออก ไป
เสียงของกระจกแตกมากขึ้น,เสียงของกระจกแตกมากขึ้น,เสียง ของ กระจก แตก มากขึ้น,เสียง ของ กระจก แตก มากขึ้น
คุณกรอกลับเทปคาสเซทหรือไม่,คุณกรอกลับTAPECLASSEDหรือไม่,คุณ กรอ กลับ TAPECLASSED หรือไม่,คุณ กรอ กลับ เทป คาส เซ ท หรือไม่
