sentence,pred_sentence_tok
สายเคเบิ้ลไม่ได้สิ้นสุดที่ปลั๊กผนังแต่มันพ่วงไปตามโรงงานไฟฟ้า,สาย เคเบิล ไม่ ได้ สิ้นสุด ที่ ปั้กผนัง   แต่ มัน พ่วง ไป ตาม โรงงาน ไฟฟ้า
ฉันคิดว่าฉันไม่ควรกลับมาอีก,ฉัน คิด ว่า ฉัน ไม่ ควร กลับมา อีก
มันเป็นโลกใบใหม่ที่เต็มไปด้วยความกล้าหาญ,มัน เป็น โลก ใบ ใหม่ ที่ เต็มไปด้วย ความกล้าหาญ
ท้ายที่สุด อัศวินแดงแห่งคารากัสได้กล่าวว่า เธอคือนักโทษของข้า เจ้ารู้ไว้ซะ,ท้ายที่สุด   อัศวิน แดง แห่ง คา รา กัส ได้ กล่าวว่า   เธอ คือ นกโทษ ของข่า   เจ้า รู้ ไว้ ซะ
ฉันอยู่ที่นี่มานานหลายปี,ฉัน อยู่ ที่นี่ มา นาน หลาย ปี
เอาล่ะ ไม่จำเป็นต้องตื่นเต้นนักหรอก,เอาล่ะ   ไม่ จำเป็นต้อง ตื่นเต้น นัก รอก
เราทั้งหมดรู้สึกตื่นตระหนกอย่างท่วมท้นกับสัญญาณเตือนถึงเหตุการณ์ร้ายที่กำลังจะมาถึง,เรา ทั้งหมด รู้สึก ตื่นตระหนก อย่าง ท่วมทน กับ สัญญาณ เตือน ถึง เหตุราย ที่ กำลังจะ มาถึง
การแสดงอารมณ์ทั่วไปสามารถถูกใช้ตรวจจับรูปแบบลำดับของข้อความได้,การแสดง อารมณ์ ทั่วไป สามารถ ถูก ใช้ ตรวจจับ รูปแบบ ลำดับ ของ ข้อความ ได้
เวลาพลบค่ำทำให้คุณรู้สึกเศร้า,เวลา พบค่ำ ทำให้ คุณ รู้สึก เศร้า
เขาเปิดห่อออกมา และใส่แซนวิชลงไป,เขา เปิด ห่อ ออกมา และ ใส่ แชนวิช ลง ไป
โตโต้ไม่ชอบมันเลย,โต โต้ ไม่ ชอบ มัน เลย
มันมีเวลาและสถานที่ในเรื่องของฉัน,มัน มี เวลา และ สถานที่ ใน เรื่อง ของ ฉัน
นี่มันถุงมือของแฮร์รี่ มีชื่อย่อประทับอยู่ตรงซับในนี่ไง,นี่ มัน ถุง มือ ของ   แฮร์รี่   มี ชื่อย่อปทับ อยู่ ตรงซับ ใน นิ ไง
ฉันต้องการให้พวกผู้ชายทำงานด้วยตัวของพวกเขาเอง,ฉัน ต้องการ ให้ พวก ผู้ชาย ทำงาน ด้วย ตัว ของ พวกเขา เอง
สถานีอวกาศมีการสั่นสะเทือนอย่างรุนแรงจากการที่คลื่นแรงดันที่รุนแรงเนื่องจากการปรับความดันอากาศล้มเหลว,สถานี อวกาศ มี การ สั่นนะเทือน อย่าง รุนแรง จาก การ ที่ ขึ้น แรงดัน ที่ รุนแรง เนื่องจาก การ ปรับ ความดานอากาศ ล้มเหลว
หยุดยาว,หยุด ยาว
เธอซื้อแตงกวาที่ตลาด,เธอ ซื้อ แตงกวา ที่ ตลาด
หนูแดงกินอะไร,หนู แดง กิน อะไร
หน่วยงานให้เช่าเชื่อว่าฉันไม่น่าเชื่อถือเนื่องจากหนี้สินของฉัน,หน่วยงาน ให้ เช่า เชื่อ ว่า ฉัน ไม่ น่าเชื่อถือ เนื่องจาก หนี้สิน ของ ฉัน
โปรดให้อภัยการแนะนำหัวข้อที่ใจร้ายเช่นนี้,โปรด ให้อภัย การ แนะนำ หัวข้อ ที่จะ ร้าย เช่นนี้
มันคงจะดีกว่าถ้าไม่เก็บมันตอนนี้,มัน คงจะ ดีกว่า ถ้า ไม่ เก็บ มัน ตอนนี้
นางราเชลเพื่อนสาวของเราไม่เคยได้ยินเรื่องนี้,นาง ราเซล เพื่อน สาว ของ เรา ไม่ เคย ได้ยิน เรื่อง นี้
เธอยืนอยู่ข้าง ข้างทางเท้าและข้ามทางม้าลายไป,เธอ ยืน อยู่ ค้าง ข้าง ทางเท้า และ ข้าม ทาง ม้าลาย ไป
คุณครูคิดว่าเขาเรียนด้วยตัวเองทั้งหมดที่เขาทำได้,คุณครู คิด ว่า เขา เรียน ด้วย ตนเอง ทั้งหมด ที่ เขา ทำได้
เขาพูดว่า เขาจะออกไปตามหาหมีตัวนั้น,เขา พูดว่า   เขา จะ ออก ไป ตามหา หมี ตัว นั้น
นั่นคือคำตอบ,นั่น คือ คำตอบ
ตารางฉันแน่นในเดือนนั้น,ตาราง ฉัน แน่น ใน เดือน นั้น
เขาเขียนจดหมายระหว่างแต่ละช่วงเวลา,เขา เขียนจดหมาย ระหว่าง แต่ละ ช่วงเวลา
ปิดเสียงหอน,ปิด เสียง หอน์
ทำไม นี่คือสิ่งที่พิเศษ,ทำไม  นี่น คือ สิ่ง ที่ พิเศษ
เขาจะไม่หยุด และเขาจะไม่ไปต่อ,เขา จะ ไม่ หยุด  และ เขา จะ ไม่ ไป ต่อ
ช่างเป็นคนเกียจคร้าน,ช่าง เป็น คน เกียจคราน
มันสามารถเป็นอะไรได้อีก,มัน สามารถ เป็น อะไร ได้ อีก
ไม่มีใครรู้ว่ามัลคอล์มเป็นใคร,ไม่ มี ใคร รู้ ว่า มัล คอม เป็น ใคร
บนใบหน้าของพวกเขาสะท้อนให้เห็นในขณะนี้ความมึนงงของชายคนนั้น,บน ใมหน้า ของ พวกเขา สะท้อนให้เห็น ใน ขณะนี้   ความมุนงล ของ ชาย คน นั้น
ใครจะมาเข้าใจตัวเรา,ใคร จะ มา เข้าใจ ตัว เรา
ไม่มีไฟโดยไม่มีควัน,ไม่ มี ไฟ โดย ไม่ มี ควัน
ตู้เย็นขนาดใหญ่ใส่ของได้เยอะ,ตู้เย็น ขนาดใหญ่ ใส่ ของ เดอะ เยอะ
ฉันได้รับบัพติศมาเป็นสองเท่า,ฉัน ได้รับ บับดิสก์ มา เป็น สองเท่า
มันสามารถจินตนาการได้อย่างง่ายดาย,มัน สามารถ จินตนาการ ได้ อย่าง ง่ายดาย
พวกเราไม่ได้รับการแจ้งเตือนเรื่องพายุทอร์นาโดจากวิทยุเลย,พวกเรา ไม่ ได้รับ การ แจ้ง เตือน เรื่อง พายุทอร์นาโด จาก วิทยุ เลย
ไม่ได้ตั้งใจ ป้าของฉันไม่ต้องการให้เขาทำแบบนั้น,ไม่ ได้ ตั้งใจ   ป้า ของ ฉัน ไม่ต้องการ ให้ เขา ทำ แบบ นั้น
อย่ากังวลเลย พวกนั้นเป็นคนดี,อย่า กังวล เลย   พวก นั้น เป็น คนดี
ฉันซื้อเทียนวันเกิด,ฉัน ซื้อ เทียน วันเกิด
ทำไมฉันถึงพูดถึงโรงเรียนของเด็กสาว,ทำไม ฉัน ถึง พูดถึง โรงเรียน ของ เด็กสาว
จริงจริงแล้วเขาเป็นคนแบบไหนกัน,จริง   จริง แล้ว เขา เป็น คน แบบ ไหน กัน
เดาไม่ออกเหรอ ว่าฉันจะทำลายมัน,เดา ไม่ ออก เหรอ ว่า ฉัน จะ ทำลาย มัน
ดี ฉันต้องการโทรก่อนที่เราจะไป,ดี   ฉัน ต้องการ ตัว์ ก่อนที่ เรา จะ ไป
วิธีการที่จะจัดการกับสุนัขบ้า,วิธีการ ที่จะ จัดการ กับ สุนัข บ้า
ส่งมาให้ฉัน,ส่ง มา ให้ ฉัน
โชคร้ายที่ฉันประสบอุบัติเหตุที่ขาและไม่สามารถทำต่อไปได้,โชคร้าน ที่ ฉัน ประสบอุบัติเหตุ ที่ ขา และ ไม่ สามารถ ทำ ต่อไป ได้
ขอบคุณที่อ่านเสียงดัง,ขอบคุณ ที่ อ่าน เสียงดัง
ชาวนาบรรเทาความทุกข์ยากเพราะฝนหลวงพระราชทาน,ชาวนา บรรเทา ความทุกข์ยาก เพราะ ฝนหลวง พระราชทาน
ฉันเห็นรองเท้าทำจากในเมือง,ฉัน เห็น รองเท้า ทำ จาก ใน เมือง
ฉันมีชีวิตเหมือนทางที่โรยกลีบกุหลาบ,ฉัน มีชีวิต เหมือน ทาง ที่ โรย กีบ กุหลาด
เรื่องอะไรที่บอกในคลับ,เรื่อง อะไร ที่ บอก ใน คลับ
คุณแองเจล่า เขาพูดถูกนะครับ ท่าน,คุณ แอ ง เจล ล่า เขา พูด ถูก นะ ครับ ท่าน
พิษของพวกมันนั้นไม่เป็นอันตรายต่อมนุษย์,พิษ ของ พวก มัน นั้น ไม่ เป็นอันตราย ต่อ มนุษย์
ถ้าอย่างนั้น ฉันว่าเราต้องล่อเขาออกไป,ถ้าอย่างนั้น ฉัน ว่า เรา ต้อง ลอ เขา ออก ไป
เสียงของกระจกแตกมากขึ้น,เสียง ของ กระจก แตก มากขึ้น
คุณกรอกลับเทปคาสเซทหรือไม่,คุณ กรอ กับ เทป คลาส เซ็ต หรือไม่
เปิดระดับเสียงให้ถึงสิบเอ็ด,เปิด ระดับ เสียง ให้ ถึง สิบเอ็ด
เนื่องจากนมแม่มีสารอาหารครบถ้วน,เนื่องจาก นม แม่ มี สารอาหาร ครบถ้วน
ฉันแค่แตะโทรศัพท์ แต่หน้าจอก็แตก,ฉัน แค่ แตะ โทรศัพท์   แต่ หน้าจอ ก็ แตก
พวกเขาพูดเสียงกระซิบ,พวกเขา พูด เสียง กระซิบ
มาเลื่อนการเดินทางครั้งแรกกันเถอะ,มา เลื่อน การ เดินทาง ครั้งแรก กัน เถอะ
นกนางนวลจงใจที่จะก่อกวนพวกคนที่ไปปิกนิก,นก นางนวล จงใจ ที่จะ ก่อกวน พวก คน ที่ ไป ปิก นิก
ผมขอให้ท่านอภัยผม เขากล่าว,ผม ขอให้ ท่าน อภัย ผม   เขา กล่าว
อลิซกับบ็อบอัธยาศัยดีมาก,อ ลิ ซ กะป๊อบ อัธยาศัย ดีมาก
ฉันมอบคำสัญญาของฉันให้คุณ,ฉัน มอบ คำสัญญา ของ ฉัน ให้ คุณ
เมื่อเครื่องมือเบลนดิงทำงาน อัลฟ่าแชลแนลจะถูกใช้เพื่อปรับความเข้ม จางของพื้นผิว,เมื่อ เครื่องมือ เบนดิ้ง ทำงาน อัล ฟ่า ชั่นแนล จะ ถูก ใช้ เพื่อ ปรับ ความเข้มจาง ของ พื้นผิว
ฉันนึกถึงคำพูดหนึ่งที่ว่า ทั้งหมดที่ฉันรู้มันคือภาษาละติน,ฉัน นึกถึง คำ พูด หนึ่ง ที่ว่า   ทั้งหมด ที่ ฉัน รู้   มัน คือ ภาษาลติน
แต่ฉันคุยกับคนหนึ่งในพวกนั้น,แต่ ฉัน คุย กับ คน หนึ่ง ใน พวก นั้น
ขอบคุณคุณผู้หญิง,ขอบคุณ คุณผู้หญิง
เราจะทำการลงทะเบียนแบบเป็นทางการกับนักโทษคนนี้,เรา จะ ทำการ ลงทะเบียน แบบ เป็น ทางการ กับ นักโทษ คน นี้
ดวงตาสีเทาสะดุด ล้างลึก,ดวงตา สีเทา สะดุด ล้าง ลึก
ฉันไม่ได้โทษอะไรคุณเลย จำไว้,ฉัน ไม่ ได้ โทษ อะไร คุณ เลย   จำ ไว้
ฉันยังไม่ได้เตรียมตัวที่จะพูดสิ่งนั้น,ฉัน ยัง ไม่ ได้ เตรียมตัว ที่จะ พูด สิ่ง นั้น
นับว่าเป็นการนำเข้าสู่หัวข้อใหม่ที่ดี,น้ำ มา เป็นการ นำเข้า สู่ หัวข้อ ใหม่ ที่ ดี
อะไรที่ฉันมี ฉันมี อะไรที่ฉันถือ คือของฉัน,อะไร ที่ ฉัน มี   ฉัน มี   อะไร ที่ ฉัน ถือ   คือ ของ ฉัน
ฉันไม่ทราบว่าคุณอยู่ที่นี่เซอร์เลสเตอร์,ฉัน ไม่ ทราบ ว่า คุณ อยู่ ที่นี่   เซอร์ เลสเต อร ์
ใบสมัครของฉันได้รับการยอมรับแล้ว,ใบสมัคร ของ ฉัน ได้รับ การ ยอมรับ แล้ว
ฉันปราศจากความหมาย,ฉัน ปราศจาก ความหมาย
รองเท้าฉันอยู่ไหน,รองเท้า ฉัน อยู่ ไหน
คณะลูกขุนสว่างขึ้นอีกครั้ง,คณะ ลูกขุน สว่าง ขึ้น อีกครั้ง
และคุณคิดว่าคุณวู้ดคอร์ทจะมีทริปล่องเรืออีกมั้ย,และ คุณ คิด ว่า คุณ วูด คอร์ท จะ มี ทิป ล่องเรือ อีก ไหม
ถึงจะไม่คาดคิดคาดฝัน แต่มันก็มาจนได้,ถึง จะ ไม่ คาด คิดคาดฝัน   แต่ มัน ก็ มา จน ได้
ฉันคิดถึงคุณ,ฉัน คิดถึง คุณ
ฉันขอให้มาร์คช่วยวิจารณ์วรรณกรรม,ฉัน ขอให้ มาร์ก ช่วย วิจารณ์ วรรณกรรม
ภรรยาของฉันคือแม่บ้าน,ภรรยา ของ ฉัน คือ แม่บ้าน
จงคิดตามไปเอาไม้เท้าเถิด จะประเสริฐสมรักเป็นศักดิ์ศรี,จน คิด ตาม ไป เอา ไม้ เท้า เถิด   จะ ประเสริฐ สำรับ เป็น ศักดิ์ศรี
โจไม่รู้แน่นอน,โจ ไม่ รู้ แน่นอน
ฉันมีหนังสือการ์ตูนที่เป็นหนังสือที่หายากที่สุดในโลกนะ,ฉัน มี หนังสือการ์ตูน ที่ เป็น หนังสือ ที่ หา ยาก ที่สุด ใน โลก นะ
มันเป็นเพียงแค่ร้านค้าที่กำลังจะปิดลง,มัน เป็น เพียงแค่ ร้านค้า ที่ กำลังจะ ปิด ลง
การทำผิดพลาดเป็นเรื่องปกติ การให้อภัยเป็นสิ่งที่ดี,การ ทำ ผิดพลาด เป็นเรื่อง ปกติ   การ ให้อภัย เป็น สิ่ง ที่ ดี
เกิดอุทุกภัยขึ้นที่ทางจังหวัดภาคใต้,เกิด อุทกภรย ขึ้น ที่ ทาง จังหวัด ภาคใต้
เรานำมันไปด้วยจะดีกว่า อัศวินกล่าว,เรา นำ มัน ไป ด้วย จะ ดีกว่า   อัศวิน กล่าว
เราไม่มีทางรอดไปจากศาลฎีกา,เรา ไม่ มีทาง รอด ไป จาก ศาลฎีก่า
ฉันไม่ได้ทำมันมาหลายปีแล้ว,ฉัน ไม่ ได้ ทำ มัน มา หลาย ปี แล้ว
กองหน้าสองคนยังทำประตูไม่ได้เลย,กองหน้า สอง คน ยัง ทำ ประตู ไม่ ได้ เลย
เฮ็ดในสิ่งเซื่อ เซื่อในสิ่งที่เฮ็ด,เห็ด ใน สิ่ง สี เสื้อ เสื้อ ใน สิ่ง สีเห็ด
เขายื่นคำร้องต่อศาลจังหวัดศรีสะเกษ,เขา ยืน คำร้อง ต่อ ศาล จังหวัด ศีสเกต
อยากหาอะไรกิน,อยาก หา อะไร กิน
การมีส่วนร่วมในการจราจรบนถนนอาจเป็นอันตรายหลังจากบริจาคเลือด,การ มีส่วนร่วมใน การจราจร บน ถนน อาจ เป็นอันตราย หลังจาก ไว้ จาก เลือด
แม้นศรีสอง,แม้น สี สอง
นั่นเป็นปฏิกิริยาทั่วไป,นั่น เป็น ปฏิกิริยา ทั่วไป
ไม่น่าแปลกใจในสถานที่แย่ แย่แบบนี้,ไม่ น่าแปลกใจ ใน สถานที่ จะ แย่ แบบนี้
นกพิราบกล่าวไว้ว่า คุณเป็นใคร,นก พิราบ ก่าว ไว้ ว่า คุณ เป็น ใคร
อาจเป็นเพียงเสียงของลมหายใจ,อาจ เป็น เพียงเสียง ของ ลมหายใจ
แบ็คดอร์เป็นกลไกที่ถูกเพิ่มเข้ามาในอัลกอริทึมเข้ารหัส,แบค ดอ์ เป็น กลไก ที่ ถูก เพิ่ม เข้ามา ใน อัลกอรึทึม เข้า รหัส
เรารื่นเริงกันในป้อมปราการ,เรา รุ่นเริง กัน ใน ป้อมปราการ
ท่อน้ำเริ่มขึ้นสนิมทั้งที่ยังใหม่อยู่,ท้อ น้ำ เริ่ม ขึ้นสนิม ทั้งที่ ยัง ใหม่ อยู่
การอยู่กับเขาเพียงอย่างเดียวทำให้เธอรู้สึกไม่สบายใจ,การ อยู่ ของ เขา เพียง อย่าง เดียว ทำให้ เธอ รู้สึก ไม่ สบายใจ
กรณีการฆาตกรรมนั้นทำให้ฉันปวดหัวเจ้าหน้าที่ตำรวจกล่าว,กรณี ฆาตกรรม นั้น ทำให้ ฉัน ปวดหัว เจ้าหน้าที่ ตนรวจ กล่าว
แก้วแตกไปแล้ว,แก้ว แตก ไป แล้ว
นี่คือห้องของฉันเธอพูดอย่างระมัดระวังชี้ไปที่ห้องนอน,นี่ คือ ห้อง ของ ฉัน   เธอ พูด อย่าง ระมัดระวัง ชี้ ไป ที่ ห้องนอน
ฉันใช้ฟิลเตอร์ชิ้นใหญ่,ฉัน ใช้ ฟิวเตอร์ ชิ้น ใหญ่
ผู้หญิงที่นั่งข้าง ข้างฉันชอบดอกไม้ที่อยู่ในแจกัน,ผู้หญิง ที่ นั่ง ค้าง   ข้าง ฉัน ชอบ ดอกไม้ ที่อยู่ ใน แจกัน
คุณตอบคำถามที่เป็นประโยชน์ได้ไหม เธอถาม,คุณ ตอบคำถาม ที่ เป็นประโยชน์ ได้ ไหม   เธอ ถาม
เขาวิ่งลัดห้อง,เขา วิ่ง ลัด ห้อง
ไม่มีอะไรถูกรีดมาจากเธอ,ไม่ มี อะไร ถูก กรีด มาจาก เธอ
ฉันคิดว่าเราต้องเข้าใจว่าเขาไม่ได้หมายความว่าอย่างนั้น,ฉัน คิด ว่า เรา ต้อง เข้าใจ ว่า เขา ไม่ ได้ หมายความว่า อย่างนั้น
แต่ดาบเล่มนี้ดูช่างวาววับและแหลมคมเหลือเกิน,ตดับ เล่ม นี้ ดู ช่าง วาวับ และ แหลมคม เหลือเกิน
ฉันใช้สีดินสอในท้องฟ้า,ฉัน ใช้ สี ดินสอ ใน ท้องฟ้า
ด้วยภาพ ตัวอักษร หรือข้อความที่ทำให้ปรากฏ,ด้วย ภาพ   ตัวอักษร   หรือ ข้อความ ที่ ทำให้ ปรากฏ
ฉันได้ยินมาว่าแนนซี่น่ารัก,ฉัน ได้ยิน มา ว่า แนน ซี่ น่ารัก
โทรทัศน์,โทรทัศน์
ฉันเป็นกุมารแพทย์ในโรงพยาบาล,ฉัน เป็น กุมาแพทย์ ใน โรงพยาบาล
ไม่ต้องสงสัยเลยว่าเป็นสาเหตุ,ไม่ต้องสงสัย เลย ว่า เป็นสาเหตุ
พระราชบัญญัติ,พระราชบัญญัติ
ใช่แล้ว ฉันกดกริ่ง,ใช่ แล้ว   ฉัน กดกริ่ง
อรุณสวัสดิ์ค่ะ ฉันอยากจะจองวันหยุด,อรุณสวัสดิ ค่ะ   ฉน อยาก จ จอง วันหยุด
การเป็นผู้นำสามารถทำให้เหน็ดเหนื่อย,การ เป็น ผู้นำ สามารถ ทำให้ เหน็ดเหนื่อย
กระทำการกระจายเสียงหรือกระจายภาพ,กระทำการ กระจายเสียง หรือ กระจาย ภาพ
เตรียมตัวสำหรับปิกนิกกันเถอะ,เตรียมตัว สำหรับ ปิกนิก กัน เถอะ
พ่อของฉันเคยเป็นผู้นำฝูงบินในกองทัพอากาศ,พ่อ ของ ฉัน เคย เป็น ผู้นำ ฝูง บิน ใน กอง ทัพอากาศ
กระดาษซับมีประโยชน์มากในการนำมาห่อแซนด์วิช,กราษทรับ์ มีประโยชน์ มาก ใน การ นำมา หอ แซ นด์วิส
ฉันเคยบอกแล้วไง,ฉัน เคย บอก แล้ว ไง
อลิซหยิบเอาไปชิมชิ้นหนึ่ง แต่มันแห้งมาก,อ ลิ ส หยิบ เอา ไป ชิม ชิ้น นึง   แต่ มัน แห้ง มาก
ประเทศไอร์แลนด์ ไม่ใช่ไอซ์แลนด์,ประเทศ ไอซ์แลนด์   ไม่ ใช่ ไอซ์แลนด์
ถ้าคุณรู้สึกหนาวตลอดเวลา คุณควรสวมเสื้อกล้ามไว้ข้างใน,ถ้า คุณ รู้สึก หนาว ตลอดเวลา   คุณ ควร สวม เสื้อ ก้ม ไว้ ข้างใน
ฉันเสียใจฉันพลาดมัน,ฉัน เสียใจ ฉัน พลาด มัน
ภูมิพลอดุลยเดช,ภูมิพล อรุลยเดช
โบสถ์ตั้งอยู่ติดกับปั๊มน้ำมัน,โบสถ์ ตั้งอยู่ ติดกับ ปั๊ม น้ำมัน
ปัญหาสุขภาพ,ปัญหา สุขภาพ
ไม่มีหมวดหมู่ที่เหมาะสม,ไม่ มี หมวด หงู่ ที่ เหมาะสม
เขารับเธอไว้ตอนเธอหกล้ม,เขา รับ เธอ ไว้ ตอน เธอ หกล้ม
วันนี้เขาไปเวียนเทียนที่วัด,วันนี้ เขา ไป เวียนเทียน ที่วัด
ยี่สิบเอ็ดนาฬิกา,ยี่ สิบเอ็ด นาฬิกา
อ้วนแล้วกอดอุ่นนะครับ,อ้วน แล้ว กอดอุ่น นะ ครับ
ปัดไปที่โรงรถทันที,ปัด เปรน ที่ โรงรถ ทันที
องค์กรการกุศลต้องการการตรวจสอบจากหน่วยงานของรัฐอย่างเร่งด่วน,องค์กร การกุศล ต้องการ การ ตรวจสอบ จาก หน่วยงาน ของ รัฐ อย่าง เร่งด่วน
ดื่มเหมือนปลา น้ำเปล่าเท่านั้น,ดื่ม เหมือน ปลา น้ำเปล่า เท่านั้น
โทรศัพท์มือถือของเมลิสซ่าเอาแต่สั่นตลอดเวลา,โทรศัพท์มือถือ ของ แม ลิ ส ซ่า เอา แต่ สั่น ตลอดเวลา
แม่ซื้ออาหารแล้ว,แม่ ซื้อ อาหาร แล้ว
อาหารจานด่วนสะดวก แต่มักไม่ดีต่อสุขภาพ,อาหาร จานด่วน สะดวก   แต่ มัก ไม่ ดี ต่อ สุขภาพ
เขาลื่นตกบันได,เขา ลื่น ตก บันได
ตอนนี้เข้าร่วมกับฉัน,ตอนนี้ เข้า ร่วมกับ ฉัน
อัตชีวประวัติของเธอได้รับการยอมรับในระดับนานาชาติ,อัตชีวประวัติ ของ เธอ ได้รับ การ ยอมรับ ใน ระดับ นานาชาติ
บ่ายสาม,บ่าย สาม
นกไปต่างประเทศ,นก ไป ต่างประเทศ
วันนี้ลมทางตะวันออกหรือไม่,วันนี้ ล้ม ทาง ตะวันออก หรือไม่
ถนนหนทางชะงักติดขัด,ถนน หนทาง ชะงัก ติดขัด
ไปปีนเขาที่ฝรั่งเศสกันเถอะ,ไป ปีน เขา ที่ ฝรั่งเศส กัน เถอะ
เขาเป็นบุตรชายคนโตของฉัน,เขา เป็น บูชาย คน ตัว ของ ฉัน
หัวหน้าชมเชยเขามาก,หัวหน้า ชมเชย เขา มาก
คุณตรวจสอบเลเซอร์ของคุณหรือไม่,คุณ ตรวจสอบ เล เซ อร์ ของ คุณ หรือไม่
