sentence,pred_sentence_tok,sentence_tok,pred_sentence,pred_sentence_tok_corrected,pred_sentence_corrected,sentence_deepcut,pred_sentence_deepcut,pred_sentence_deepcut_corrected
พวกเขาพกขวานและเลื่อยเข้าไปในป่า,พวกเขา พก ขวาน และ เลื่อย เข้าไป ใน ป่า,พวกเขา พก ขวาน และ เลื่อย เข้าไป ใน ป่า,พวกเขาพกขวานและเลื่อยเข้าไปในป่า,พวกเขา ขวาน และ เลื่อย เข้า ใน ป่า,พวกเขาขวานและเลื่อยเข้าในป่า,พวก เขา พกขวาน และ เลื่อย เข้า ไป ใน ป่า,พวก เขา พกขวาน และ เลื่อย เข้า ไป ใน ป่า,พวก เขา ขวาน และ เลื่อย เข้า ใน ป่า
เขาอยู่บนเครื่องบิน,เขา อยู่ บน เครื่องบิน,เขา อยู่ บน เครื่องบิน,เขาอยู่บนเครื่องบิน,เขา อยู่ บน เครื่องบิน,เขาอยู่บนเครื่องบิน,เขา อยู่ บน เครื่อง บิน,เขา อยู่ บน เครื่อง บิน,เขา อยู่ บน เครื่อง บิน
ตรวจสอบว่าไฟล์การกำหนดค่านั้นถูกต้องหรือไม่,ตรวจสอบ ว่า ไฟล์ การกำ หนุ ด ค่า นั้น ถูกต้อง หรือไม่,ตรวจสอบ ว่า ไฟล์ การ กำหนด ค่า นั้น ถูกต้อง หรือไม่,ตรวจสอบว่าไฟล์การกำหนุดค่านั้นถูกต้องหรือไม่,ตรวจสอบ ว่า ไฟล์ การ กำหนด ค่า นั้น ถูกต้อง หรือไม่,ตรวจสอบว่าไฟล์การกำหนดค่านั้นถูกต้องหรือไม่,ตรวจสอบ ว่า ไฟล์ การ กำหนด ค่า นั้น ถูกต้อง หรือ ไม่,ตรวจสอบ ว่า ไฟล์ การ กำหนุด ค่า นั้น ถูกต้อง หรือ ไม่,ตรวจสอบ ว่า ไฟล์ การ กำหนด ค่า นั้น ถูกต้อง หรือ ไม่
เขารับประทานอาหารจีนด้วยตะเกียบอย่างคล่องแคล่ว,เขา รับประทาน อาหารจีน ด้วย ต้ะ เกีย บอ ย่าง คล่องแคล่ว,เขา รับประทาน อาหารจีน ด้วย ตะเกียบ อย่าง คล่องแคล่ว,เขารับประทานอาหารจีนด้วยต้ะเกียบอย่างคล่องแคล่ว,เขา รับประทาน อาหารจีน ด้วย ตะเกียบ อย่าง คล่องแคล่ว,เขารับประทานอาหารจีนด้วยตะเกียบอย่างคล่องแคล่ว,เขา รับประทาน อาหาร จีน ด้วย ตะเกียบ อย่าง คล่องแคล่ว,เขา รับประทาน อาหาร จีน ด้วย ต้ะเกียบ อย่าง คล่องแคล่ว,เขา รับประทาน อาหาร จีน ด้วย ตะเกียบ อย่าง คล่องแคล่ว
อวยพรคุณ,อวยพร คุณ,อวยพร คุณ,อวยพรคุณ,อวยพร คุณ,อวยพรคุณ,อวยพร คุณ,อวยพร คุณ,อวยพร คุณ
ป้าไปฝึกงานที่กรุงเทพ,ป้า เป็น ฝึกงาน ที่ กรุงเทพ,ป้า ไป ฝึกงาน ที่ กรุงเทพ,ป้าเป็นฝึกงานที่กรุงเทพ,ป้า เป็น ฝึกงาน ที่ กรุงเทพ,ป้าเป็นฝึกงานที่กรุงเทพ,ป้า ไป ฝึก งาน ที่ กรุงเทพ,ป้า เป็น ฝึก งาน ที่ กรุงเทพ,ป้า เป็น ฝึก งาน ที่ กรุงเทพ
ฉันทนต่อการโกหกไม่ได้,ฉัน ทน ต่อ การ โกหก ไม่ ได้,ฉัน ทน ต่อ การ โกหก ไม่ ได้,ฉันทนต่อการโกหกไม่ได้,ฉัน ทน ต่อ การ โกหก ไม่ ได้,ฉันทนต่อการโกหกไม่ได้,ฉัน ทน ต่อ การ โกหก ไม่ ได้,ฉัน ทน ต่อ การ โกหก ไม่ ได้,ฉัน ทน ต่อ การ โกหก ไม่ ได้
งานของฉันต้องเดินทางบ่อย,งาน ของ ฉัน ต้อง เดินทาง บ่อย,งาน ของ ฉัน ต้อง เดินทาง บ่อย,งานของฉันต้องเดินทางบ่อย,งาน ของ ฉัน ต้อง เดินทาง บ่อย,งานของฉันต้องเดินทางบ่อย,งาน ของ ฉัน ต้อง เดินทาง บ่อย,งาน ของ ฉัน ต้อง เดินทาง บ่อย,งาน ของ ฉัน ต้อง เดินทาง บ่อย
ฉันรู้ฉันรู้,ฉัน รู้ ฉัน รู้,ฉัน รู้ ฉัน รู้,ฉันรู้ฉันรู้,ฉัน รู้ ฉัน รู้,ฉันรู้ฉันรู้,ฉัน รู้ ฉัน รู้,ฉัน รู้ ฉัน รู้,ฉัน รู้ ฉัน รู้
พวกเรามีกระรอกมากเกินไป,พวกเรา มี กระรอก มากเกินไป,พวกเรา มี กระรอก มากเกินไป,พวกเรามีกระรอกมากเกินไป,พวกเรา มี กระรอก มากเกินไป,พวกเรามีกระรอกมากเกินไป,พวก เรา มี กระรอก มาก เกิน ไป,พวก เรา มี กระรอก มาก เกิน ไป,พวก เรา มี กระรอก มาก เกิน ไป
ฉันรู้ว่าเสียงของเขา,ฉัน รู้ ว่า เสียง ของ เขา,ฉัน รู้ ว่า เสียง ของ เขา,ฉันรู้ว่าเสียงของเขา,ฉัน รู้ ว่า เสียง ของ เขา,ฉันรู้ว่าเสียงของเขา,ฉัน รู้ ว่า เสียง ของ เขา,ฉัน รู้ ว่า เสียง ของ เขา,ฉัน รู้ ว่า เสียง ของ เขา
จากนั้นมาร์ธก็ตามไป,จากนั้น มาร ์ธ ก็ตาม ไป,จากนั้น มาร ์ธ ก็ตาม ไป,จากนั้นมาร์ธก็ตามไป,จากนั้น มาร ์ธ ก็ตาม ไป,จากนั้นมาร์ธก็ตามไป,จาก นั้น มาร์ธ ก็ตาม ไป,จาก นั้น มาร์ธ ก็ตาม ไป,จาก นั้น มาร์ธ ก็ตาม ไป
ฉันไม่ต้องการให้นึกถึงคำพูดของออกัสตัส,ฉัน ไม่ต้องการ ให้ นึกถึง คำพูด ของ ออ กัสตัส,ฉัน ไม่ต้องการ ให้ นึกถึง คำพูด ของ ออ กัสตัส,ฉันไม่ต้องการให้นึกถึงคำพูดของออกัสตัส,ฉัน ไม่ต้องการ ให้ นึกถึง คำพูด ของ ออ กัปตัน,ฉันไม่ต้องการให้นึกถึงคำพูดของออกัปตัน,ฉัน ไม่ ต้องการ ให้ นึก ถึง คำ พูด ของ ออกัสตัส,ฉัน ไม่ ต้องการ ให้ นึก ถึง คำ พูด ของ ออกัสตัส,ฉัน ไม่ ต้องการ ให้ นึก ถึง คำ พูด ของ ออ กัปตัน
ผู้เช่าจะจ่ายค่าเช่าตรงเวลาเสมอ,ผู้เช่า จะ จ่าย ค่าเช่า ตรงเวลา เสมอ,ผู้เช่า จะ จ่าย ค่าเช่า ตรงเวลา เสมอ,ผู้เช่าจะจ่ายค่าเช่าตรงเวลาเสมอ,ผู้เฒ่า จะ จ่าย ค่าเช่า ตรงเวลา เสมอ,ผู้เฒ่าจะจ่ายค่าเช่าตรงเวลาเสมอ,ผู้ เช่า จะ จ่าย ค่า เช่า ตรง เวลา เสมอ,ผู้ เช่า จะ จ่าย ค่า เช่า ตรง เวลา เสมอ,ผู้ เฒ่า จะ จ่าย ค่า เช่า ตรง เวลา เสมอ
และถ้าหากมีอะไรเกิดขึ้นตอนที่เรากำลังกินอาหารอยู่ล่ะ,และ ท หาก มี อะไร เกิดขึ้น ตอ นที เรา กำลังกิน อาหาร อยู่ ล่ะ,และ ถ้าหาก มี อะไร เกิดขึ้น ตอนที่ เรา กำลังกิน อาหาร อยู่ ล่ะ,และทหากมีอะไรเกิดขึ้นตอนทีเรากำลังกินอาหารอยู่ล่ะ,และ หาก มี อะไร เกิดขึ้น ตอน เรา กำลังกิน อาหาร อยู่ ล่ะ,และหากมีอะไรเกิดขึ้นตอนเรากำลังกินอาหารอยู่ล่ะ,และ ถ้าหาก มี อะไร เกิด ขึ้น ตอน ที่ เรา กำลัง กิน อาหาร อยู่ ล่ะ,และ ทหาก มี อะไร เกิด ขึ้น ตอน ที เรา กำลัง กิน อาหาร อยู่ ล่ะ,และ หาก มี อะไร เกิด ขึ้น ตอน เรา กำลัง กิน อาหาร อยู่ ล่ะ
ระวังในการถือสารเคมีที่มีฤทธิ์กัดกร่อนหรือระคายเคือง,ระวัง ใน การ ถือ สารเคมี ที่ มีฤทธิ์ กัด ต ร่อน หรือ ระคายเคือง,ระวัง ใน การ ถือ สารเคมี ที่ มีฤทธิ์ กัดกร่อน หรือ ระคายเคือง,ระวังในการถือสารเคมีที่มีฤทธิ์กัดตร่อนหรือระคายเคือง,ระวัง ใน การ ถือ สารเคมี ที่ ฤทธิ์ กัดกร่อน หรือ ระคายเคือง,ระวังในการถือสารเคมีที่ฤทธิ์กัดกร่อนหรือระคายเคือง,ระวัง ใน การ ถือ สาร เคมี ที่ มี ฤทธิ์ กัดกร่อน หรือ ระคายเคือง,ระวัง ใน การ ถือ สาร เคมี ที่ มี ฤทธิ์ กัด ตร่อน หรือ ระคายเคือง,ระวัง ใน การ ถือ สาร เคมี ที่ ฤทธิ์ กัด กร่อน หรือ ระคายเคือง
แต่ละคนมีพันธมิตรมันร้อง,แต่ละคน มี พันธมิตร มัน ร้อง,แต่ละคน มี พันธมิตร มัน ร้อง,แต่ละคนมีพันธมิตรมันร้อง,แต่ละ มี พันธมิตร มัน ร้อง,แต่ละมีพันธมิตรมันร้อง,แต่ละ คน มี พันธมิตร มัน ร้อง,แต่ละ คน มี พันธมิตร มัน ร้อง,แต่ละ มี พันธมิตร มัน ร้อง
ไม่มีอะไรยืดหยุ่นเหมือนกับใยแมงมุม,ไม่ มี อะไร ยืดหยุ่น เหมือนกับ ใยแมงมุม,ไม่ มี อะไร ยืดหยุ่น เหมือนกับ ใยแมงมุม,ไม่มีอะไรยืดหยุ่นเหมือนกับใยแมงมุม,ไม่ มี อะไร ยืดหยุ่น เหมือนกับ แมงมุม,ไม่มีอะไรยืดหยุ่นเหมือนกับแมงมุม,ไม่ มี อะไร ยืดหยุ่น เหมือน กับ ใย แมงมุม,ไม่ มี อะไร ยืดหยุ่น เหมือน กับ ใย แมงมุม,ไม่ มี อะไร ยืดหยุ่น เหมือน กับ แมงมุม
นี่คือบ้านที่น่ากลัวมากนายกุปเปอร์พูดปิดหน้าต่าง,นี่ คือ บ้าน ที่ น่ากลัว มาก นาย คู เปอร์ พูด ปิด หน้าต่าง,นี่ คือ บ้าน ที่ น่ากลัว มาก นาย กุ ป เปอร์ พูด ปิด หน้าต่าง,นี่คือบ้านที่น่ากลัวมากนายคูเปอร์พูดปิดหน้าต่าง,นี่ คือ บ้าน ที่ น่ากลัว มาก นาย คู เปอร์ พูด ปิด หน้าต่าง,นี่คือบ้านที่น่ากลัวมากนายคูเปอร์พูดปิดหน้าต่าง,นี่ คือ บ้าน ที่ น่า กลัว มาก นายกุปเปอร์ พูด ปิด หน้าต่าง,นี่ คือ บ้าน ที่ น่า กลัว มาก นายคูเปอร์ พูด ปิด หน้าต่าง,นี่ คือ บ้าน ที่ น่า กลัว มาก นายคูเปอร์ พูด ปิด หน้าต่าง
สะโพกของเขาชนกับเข่าของผู้เล่นคนถัดไป,สะโพก ของ เขา ชน กับ เข่า ของ ผู้ เล่น คน ถัดไป,สะโพก ของ เขา ชน กับ เข่า ของ ผู้ เล่น คน ถัดไป,สะโพกของเขาชนกับเข่าของผู้เล่นคนถัดไป,สะโพก ของ เขา ชน กับ เข่า ของ ผู้ เล่น คน ถัด,สะโพกของเขาชนกับเข่าของผู้เล่นคนถัด,สะโพก ของ เขา ชน กับ เข่า ของ ผู้ เล่น คน ถัด ไป,สะโพก ของ เขา ชน กับ เข่า ของ ผู้ เล่น คน ถัด ไป,สะโพก ของ เขา ชน กับ เข่า ของ ผู้ เล่น คน ถัด
เรือควรจะเทียบท่าภายในเจ็ดถึงสิบวัน,เรือ ควรจะ เทียบท่า ภายใน เจ็ด ถึง สิบ วัน,เรือ ควรจะ เทียบท่า ภายใน เจ็ด ถึง สิบ วัน,เรือควรจะเทียบท่าภายในเจ็ดถึงสิบวัน,เรือ ควร เทียบท่า ภายใน เจ็ด ถึง สิบ วัน,เรือควรเทียบท่าภายในเจ็ดถึงสิบวัน,เรือ ควร จะ เทียบ ท่า ภาย ใน เจ็ด ถึง สิบ วัน,เรือ ควร จะ เทียบ ท่า ภาย ใน เจ็ด ถึง สิบ วัน,เรือ ควร เทียบ ท่า ภาย ใน เจ็ด ถึง สิบ วัน
ในเมื่อไม่มีจะสูญเสียได้อย่างไร,ใน เมื่อ ไม่ มี จะ สูญ เสียได้ อย่างไร,ใน เมื่อ ไม่ มี จะ สูญ เสียได้ อย่างไร,ในเมื่อไม่มีจะสูญเสียได้อย่างไร,ใน เมื่อ ไม่ มี จะ สูญ เสียได้ อย่างไร,ในเมื่อไม่มีจะสูญเสียได้อย่างไร,ใน เมื่อ ไม่ มี จะ สูญเสีย ได้ อย่าง ไร,ใน เมื่อ ไม่ มี จะ สูญเสีย ได้ อย่าง ไร,ใน เมื่อ ไม่ มี จะ สูญเสีย ได้ อย่าง ไร
ฉันอยากจะเป็นนักเขียนสิ่งตีพิมพ์ตอนที่โตเป็นผู้ใหญ่,ฉัน อยาก จะ เป็น นักเขียน สิ่งตีพิมพ์ ตอนที่ โต เป็นผู้ใหญ่,ฉัน อยาก จะ เป็น นักเขียน สิ่งตีพิมพ์ ตอนที่ โต เป็นผู้ใหญ่,ฉันอยากจะเป็นนักเขียนสิ่งตีพิมพ์ตอนที่โตเป็นผู้ใหญ่,ฉัน อยาก จะ เป็น นักเขียน สิ่งตีพิมพ์ วันที่ โต เป็นผู้ใหญ่,ฉันอยากจะเป็นนักเขียนสิ่งตีพิมพ์วันที่โตเป็นผู้ใหญ่,ฉัน อยาก จะ เป็น นัก เขียน สิ่ง ตีพิมพ์ ตอน ที่ โต เป็น ผู้ ใหญ่,ฉัน อยาก จะ เป็น นัก เขียน สิ่ง ตีพิมพ์ ตอน ที่ โต เป็น ผู้ ใหญ่,ฉัน อยาก จะ เป็น นัก เขียน สิ่ง ตีพิมพ์ วัน ที่ โต เป็น ผู้ ใหญ่
นี่จะทำให้โลกวุ่นวายมากขึ้น,นี่ จะ ทำให้ โลก วุ่นวาย มากขึ้น,นี่ จะ ทำให้ โลก วุ่นวาย มากขึ้น,นี่จะทำให้โลกวุ่นวายมากขึ้น,นี่ จะ ทำให้ โลก วุ่นวาย มือขึ้น,นี่จะทำให้โลกวุ่นวายมือขึ้น,นี่ จะ ทำ ให้ โลก วุ่นวาย มาก ขึ้น,นี่ จะ ทำ ให้ โลก วุ่นวาย มาก ขึ้น,นี่ จะ ทำ ให้ โลก วุ่นวาย มือ ขึ้น
เกิดเหตุร้ายที่งานเทศกาลศิลปะ,เกิด เหตุร้าย ที่ งานเทศกาล ศิลปะ,เกิด เหตุร้าย ที่ งานเทศกาล ศิลปะ,เกิดเหตุร้ายที่งานเทศกาลศิลปะ,เกิด เหตุร้าย ที่ งานเทศกาล ศิลปะ,เกิดเหตุร้ายที่งานเทศกาลศิลปะ,เกิด เหตุ ร้าย ที่ งาน เทศกาล ศิลปะ,เกิด เหตุ ร้าย ที่ งาน เทศกาล ศิลปะ,เกิด เหตุ ร้าย ที่ งาน เทศกาล ศิลปะ
คุณจะปกป้องพวกเขาอย่างไร,คุณ จะ ปกป้อง พวกเขา อย่างไร,คุณ จะ ปกป้อง พวกเขา อย่างไร,คุณจะปกป้องพวกเขาอย่างไร,คุณ จะ ปกป้อง พวกเขา อย่างไร,คุณจะปกป้องพวกเขาอย่างไร,คุณ จะ ปกป้อง พวก เขา อย่าง ไร,คุณ จะ ปกป้อง พวก เขา อย่าง ไร,คุณ จะ ปกป้อง พวก เขา อย่าง ไร
ฉันตีลังกาได้,ฉัน ตีน ลังกา ได้,ฉัน ตีลังกา ได้,ฉันตีนลังกาได้,ฉัน ตีลังกา ได้,ฉันตีลังกาได้,ฉัน ตี ลังกา ได้,ฉัน ตีนลังกา ได้,ฉัน ตี ลังกา ได้
เสนาบดีกระทรวงการคลัง,เสนาบดี กระทรวงการคลัง,เสนาบดี กระทรวงการคลัง,เสนาบดีกระทรวงการคลัง,เสนาบดี กระทรวงการคลัง,เสนาบดีกระทรวงการคลัง,เสนาบดี กระทรวงการคลัง,เสนาบดี กระทรวงการคลัง,เสนาบดี กระทรวงการคลัง
สายเคเบิ้ลไม่ได้สิ้นสุดที่ปลั๊กผนังแต่มันพ่วงไปตามโรงงานไฟฟ้า,สาย เคเบิล ไม่ ได้ สิ้นสุด ที่ ปั้ก ผนัง แต่ มัน พ่วง ไป ตาม โรงงาน ไฟฟ้า,สาย เคเบิ้ล ไม่ ได้ สิ้นสุด ที่ ปลั๊ก ผนัง แต่ มัน พ่วง ไป ตาม โรงงาน ไฟฟ้า,สายเคเบิลไม่ได้สิ้นสุดที่ปั้กผนังแต่มันพ่วงไปตามโรงงานไฟฟ้า,สาย เคเบิล ไม่ ได้ สิ้นสุด ที่ ปั้ก ผนัง แต่ มัน พ่วง ไป ตาม โรงงาน ไฟฟ้า,สายเคเบิลไม่ได้สิ้นสุดที่ปั้กผนังแต่มันพ่วงไปตามโรงงานไฟฟ้า,สายเคเบิ้ล ไม่ ได้ สิ้นสุด ที่ ปลั๊ก ผนัง แต่ มัน พ่วง ไป ตาม โรง งาน ไฟฟ้า,สายเคเบิล ไม่ ได้ สิ้นสุด ที่ ปั้ก ผนัง แต่ มัน พ่วง ไป ตาม โรง งาน ไฟฟ้า,สายเคเบิล ไม่ ได้ สิ้นสุด ที่ ปั้ก ผนัง แต่ มัน พ่วง ไป ตาม โรง งาน ไฟฟ้า
ฉันคิดว่าฉันไม่ควรกลับมาอีก,ฉัน คิด ว่า ฉัน ไม่ ควร กลับมา อีก,ฉัน คิด ว่า ฉัน ไม่ ควร กลับมา อีก,ฉันคิดว่าฉันไม่ควรกลับมาอีก,ฉัน คิด ว่า ฉัน ไม่ ควร กลับ อีก,ฉันคิดว่าฉันไม่ควรกลับอีก,ฉัน คิด ว่า ฉัน ไม่ ควร กลับ มา อีก,ฉัน คิด ว่า ฉัน ไม่ ควร กลับ มา อีก,ฉัน คิด ว่า ฉัน ไม่ ควร กลับ อีก
มันเป็นโลกใบใหม่ที่เต็มไปด้วยความกล้าหาญ,มัน เป็น โลก ใบ ใหม่ ที่ เต็มไปด้วย ความกล้าหาญ,มัน เป็น โลก ใบ ใหม่ ที่ เต็มไปด้วย ความกล้าหาญ,มันเป็นโลกใบใหม่ที่เต็มไปด้วยความกล้าหาญ,มัน เป็น โลก ใบ ใหม่ ที่ เต็มไปด้วย ความกล้าหาญ,มันเป็นโลกใบใหม่ที่เต็มไปด้วยความกล้าหาญ,มัน เป็น โลก ใบ ใหม่ ที่ เต็ม ไป ด้วย ความ กล้าหาญ,มัน เป็น โลก ใบ ใหม่ ที่ เต็ม ไป ด้วย ความ กล้าหาญ,มัน เป็น โลก ใบ ใหม่ ที่ เต็ม ไป ด้วย ความ กล้าหาญ
